access_mode,stride,array_size_in_elements,iterations,runtime_in_seconds
sequential,1,256,1000,0.041080867
sequential,1,1024,1000,0.001928379
sequential,1,4096,1000,0.003206508
sequential,1,16384,1000,0.005244035
sequential,1,65536,1000,0.030322599
sequential,1,262144,1000,0.112841518
sequential,1,1048576,10,0.013523267
sequential,1,4194304,10,0.060040421
sequential,1,16777216,10,0.307914204
sequential,1,67108864,10,0.962744914
sequential,1,134217728,10,1.759369308
random,1,256,1000,0.002301283
random,1,1024,1000,0.002533821
random,1,4096,1000,0.005156256
random,1,16384,1000,0.016722714
random,1,65536,1000,0.137661299
random,1,262144,1000,0.573874931
random,1,1048576,10,0.052790329
random,1,4194304,10,0.520494868
random,1,16777216,10,2.988620881
random,1,67108864,10,12.415546840
random,1,134217728,10,24.781987399
strided,1,256,1000,0.001539633
strided,1,1024,1000,0.002400573
strided,1,4096,1000,0.002526003
strided,1,16384,1000,0.006368988
strided,1,65536,1000,0.026981745
strided,1,262144,1000,0.075533000
strided,1,1048576,10,0.011834342
strided,1,4194304,10,0.056956705
strided,1,16777216,10,0.229173116
strided,1,67108864,10,0.845147773
strided,1,134217728,10,2.208652072
strided,2,256,1000,0.001973142
strided,2,1024,1000,0.002362421
strided,2,4096,1000,0.003324699
strided,2,16384,1000,0.005574947
strided,2,65536,1000,0.025690889
strided,2,262144,1000,0.080820952
strided,2,1048576,10,0.013554467
strided,2,4194304,10,0.058430711
strided,2,16777216,10,0.232563161
strided,2,67108864,10,0.989763738
strided,2,134217728,10,1.711401913
strided,4,256,1000,0.001942617
strided,4,1024,1000,0.002141350
strided,4,4096,1000,0.002295967
strided,4,16384,1000,0.008431007
strided,4,65536,1000,0.021214490
strided,4,262144,1000,0.075455722
strided,4,1048576,10,0.011125790
strided,4,4194304,10,0.057992595
strided,4,16777216,10,0.229627926
strided,4,67108864,10,0.976189216
strided,4,134217728,10,2.206765512
strided,8,256,1000,0.001933502
strided,8,1024,1000,0.002294778
strided,8,4096,1000,0.002449847
strided,8,16384,1000,0.004952508
strided,8,65536,1000,0.021152000
strided,8,262144,1000,0.065601242
strided,8,1048576,10,0.010507327
strided,8,4194304,10,0.051885531
strided,8,16777216,10,0.233963756
strided,8,67108864,10,0.845463658
strided,8,134217728,10,2.284464562
strided,16,256,1000,0.002098733
strided,16,1024,1000,0.002606379
strided,16,4096,1000,0.002164812
strided,16,16384,1000,0.003982971
strided,16,65536,1000,0.023545111
strided,16,262144,1000,0.047916021
strided,16,1048576,10,0.010279141
strided,16,4194304,10,0.046711179
strided,16,16777216,10,0.218212096
strided,16,67108864,10,0.662414289
strided,16,134217728,10,1.329613754
strided,32,256,1000,0.001535356
strided,32,1024,1000,0.002193364
strided,32,4096,1000,0.001716877
strided,32,16384,1000,0.002658466
strided,32,65536,1000,0.008972509
strided,32,262144,1000,0.038876341
strided,32,1048576,10,0.009888087
strided,32,4194304,10,0.041486399
strided,32,16777216,10,0.149473212
strided,32,67108864,10,0.560107519
strided,32,134217728,10,1.034799611
strided,64,256,1000,0.003261084
strided,64,1024,1000,0.001631313
strided,64,4096,1000,0.001971608
strided,64,16384,1000,0.003583063
strided,64,65536,1000,0.004871010
strided,64,262144,1000,0.012594490
strided,64,1048576,10,0.008221036
strided,64,4194304,10,0.033393341
strided,64,16777216,10,0.120649091
strided,64,67108864,10,0.585294258
strided,64,134217728,10,0.822096675
strided,128,256,1000,0.002070034
strided,128,1024,1000,0.001827447
strided,128,4096,1000,0.001912612
strided,128,16384,1000,0.003754124
strided,128,65536,1000,0.003918114
strided,128,262144,1000,0.007051165
strided,128,1048576,10,0.008540659
strided,128,4194304,10,0.030105874
strided,128,16777216,10,0.100550109
strided,128,67108864,10,0.381424875
strided,128,134217728,10,1.224662198
strided,256,256,1000,0.002293194
strided,256,1024,1000,0.001858107
strided,256,4096,1000,0.001977891
strided,256,16384,1000,0.003421753
strided,256,65536,1000,0.002562559
strided,256,262144,1000,0.006317173
strided,256,1048576,10,0.010550128
strided,256,4194304,10,0.028420750
strided,256,16777216,10,0.094777442
strided,256,67108864,10,0.402719883
strided,256,134217728,10,0.779735333
strided,512,256,1000,0.002148465
strided,512,1024,1000,0.002216474
strided,512,4096,1000,0.002120049
strided,512,16384,1000,0.002304583
strided,512,65536,1000,0.002535124
strided,512,262144,1000,0.004335300
strided,512,1048576,10,0.007259510
strided,512,4194304,10,0.048254524
strided,512,16777216,10,0.093370755
strided,512,67108864,10,0.355071958
strided,512,134217728,10,0.673643697
strided,1024,256,1000,0.002273751
strided,1024,1024,1000,0.001981405
strided,1024,4096,1000,0.003474605
strided,1024,16384,1000,0.001745967
strided,1024,65536,1000,0.002422599
strided,1024,262144,1000,0.004530687
strided,1024,1048576,10,0.007848091
strided,1024,4194304,10,0.023286460
strided,1024,16777216,10,0.091522955
strided,1024,67108864,10,0.308810172
strided,1024,134217728,10,0.637305767
