stride,array_size_in_elements,iterations,l1_misses,l2_misses,l3_misses,runtime_in_seconds
1,256,1000,43341,10738,3340,0.001539633
1,1024,1000,37601,14442,5391,0.002400573
1,4096,1000,76510,11966,2900,0.002526003
1,16384,1000,2092189,14597,4481,0.006368988
1,65536,1000,8244506,906516,6014,0.026981745
1,262144,1000,32850895,3744991,4254,0.075533000
1,1048576,10,1524398,68511,4886,0.011834342
1,4194304,10,6037448,479250,731152,0.056956705
1,16777216,10,23948896,3123532,3269246,0.229173116
1,67108864,10,94805812,10603537,12866025,0.845147773
1,134217728,10,189815544,25008143,27792183,2.208652072
2,256,1000,44020,10959,3238,0.001973142
2,1024,1000,49683,14878,2966,0.002362421
2,4096,1000,48001,14676,6165,0.003324699
2,16384,1000,2089968,15488,5503,0.005574947
2,65536,1000,8248962,987975,3182,0.025690889
2,262144,1000,32849158,4880062,5980,0.080820952
2,1048576,10,1529261,199004,6442,0.013554467
2,4194304,10,6031443,965834,1026464,0.058430711
2,16777216,10,23872570,5239016,5577006,0.232563161
2,67108864,10,95858391,21033910,22803601,0.989763738
2,134217728,10,189528468,40602916,46088542,1.711401913
4,256,1000,42714,12002,3648,0.001942617
4,1024,1000,37421,13994,5977,0.002141350
4,4096,1000,47712,14639,5846,0.002295967
4,16384,1000,2094271,13720,4182,0.008431007
4,65536,1000,8247114,1985917,3085,0.021214490
4,262144,1000,32851905,7254472,6319,0.075455722
4,1048576,10,1527833,248065,3566,0.011125790
4,4194304,10,5974603,2401327,1824997,0.057992595
4,16777216,10,23855713,10844665,10226708,0.229627926
4,67108864,10,94842407,43020834,40653998,0.976189216
4,134217728,10,189906966,85061439,82080887,2.206765512
8,256,1000,43973,10826,3258,0.001933502
8,1024,1000,46864,12641,3402,0.002294778
8,4096,1000,38418,14793,5895,0.002449847
8,16384,1000,2095369,13439,3556,0.004952508
8,65536,1000,8247252,3561456,3514,0.021152000
8,262144,1000,32859647,14031745,2518,0.065601242
8,1048576,10,1522097,613324,5229,0.010507327
8,4194304,10,5999302,2731780,2010776,0.051885531
8,16777216,10,23921683,12030739,10880536,0.233963756
8,67108864,10,94840028,46352959,44321797,0.845463658
8,134217728,10,190827812,95210128,87470798,2.284464562
16,256,1000,44831,11338,3458,0.002098733
16,1024,1000,54367,16256,3317,0.002606379
16,4096,1000,55864,12252,2643,0.002164812
16,16384,1000,1070391,13218,3325,0.003982971
16,65536,1000,4144365,3597764,5975,0.023545111
16,262144,1000,16480545,14300340,3031,0.047916021
16,1048576,10,876709,589386,5617,0.010279141
16,4194304,10,3401940,2164115,1301057,0.046711179
16,16777216,10,13304724,8952503,8369169,0.218212096
16,67108864,10,52810741,35237454,30968767,0.662414289
16,134217728,10,105420402,70383614,61921760,1.329613754
32,256,1000,44224,11070,3174,0.001535356
32,1024,1000,37943,14867,5259,0.002193364
32,4096,1000,52167,12134,2665,0.001716877
32,16384,1000,559908,11632,3389,0.002658466
32,65536,1000,2097600,2013279,4353,0.008972509
32,262144,1000,8277695,8147790,3676,0.038876341
32,1048576,10,548368,344857,4918,0.009888087
32,4194304,10,2028856,1339651,977203,0.041486399
32,16777216,10,8071845,5273694,5025915,0.149473212
32,67108864,10,31865141,20914745,20055306,0.560107519
32,134217728,10,63684881,41726413,40131638,1.034799611
64,256,1000,40236,13819,6055,0.003261084
64,1024,1000,44420,11095,3261,0.001631313
64,4096,1000,46685,13238,4256,0.001971608
64,16384,1000,298564,14641,6055,0.003583063
64,65536,1000,1072775,1036544,5375,0.004871010
64,262144,1000,4173524,4111755,5186,0.012594490
64,1048576,10,374335,183709,6198,0.008221036
64,4194304,10,1423787,710047,519490,0.033393341
64,16777216,10,5356941,2809793,2705741,0.120649091
64,67108864,10,21355326,10868459,10607284,0.585294258
64,134217728,10,43092810,21623550,21171480,0.822096675
128,256,1000,40879,13103,4929,0.002070034
128,1024,1000,44183,10747,2668,0.001827447
128,4096,1000,42508,12425,4148,0.001912612
128,16384,1000,168421,14616,4824,0.003754124
128,65536,1000,566595,522912,3084,0.003918114
128,262144,1000,2124436,2063073,5828,0.007051165
128,1048576,10,282935,101499,5210,0.008540659
128,4194304,10,1035946,384528,314243,0.030105874
128,16777216,10,4280907,1445222,1361157,0.100550109
128,67108864,10,16318424,5656828,5371098,0.381424875
128,134217728,10,32266346,11168832,10695976,1.224662198
256,256,1000,37555,14456,6229,0.002293194
256,1024,1000,44355,12768,3019,0.001858107
256,4096,1000,38090,14478,5104,0.001977891
256,16384,1000,102722,14054,4311,0.003421753
256,65536,1000,310427,250949,3052,0.002562559
256,262144,1000,1108164,1039220,3109,0.006317173
256,1048576,10,250566,62006,6438,0.010550128
256,4194304,10,871806,216282,149258,0.028420750
256,16777216,10,3534831,791826,698660,0.094777442
256,67108864,10,13509632,3019091,2744607,0.402719883
256,134217728,10,27068345,5931797,5448625,0.779735333
512,256,1000,37020,14059,5964,0.002148465
512,1024,1000,37193,14266,5517,0.002216474
512,4096,1000,37886,14041,4658,0.002120049
512,16384,1000,59121,15203,6663,0.002304583
512,65536,1000,183396,135867,3140,0.002535124
512,262144,1000,590440,527204,2995,0.004335300
512,1048576,10,215829,39044,7298,0.007259510
512,4194304,10,876970,138833,71840,0.048254524
512,16777216,10,3263217,463091,371116,0.093370755
512,67108864,10,12210895,1720688,1440120,0.355071958
512,134217728,10,25366051,3314968,2822920,0.673643697
1024,256,1000,38227,14086,5969,0.002273751
1024,1024,1000,37579,14381,5317,0.001981405
1024,4096,1000,38112,13991,4817,0.003474605
1024,16384,1000,51784,11238,2895,0.001745967
1024,65536,1000,118567,26447,3154,0.002422599
1024,262144,1000,336143,272020,4406,0.004530687
1024,1048576,10,222775,29923,6261,0.007848091
1024,4194304,10,794413,82379,41754,0.023286460
1024,16777216,10,2845638,334652,225933,0.091522955
1024,67108864,10,11587722,1078177,780408,0.308810172
1024,134217728,10,23148637,1992408,1494931,0.637305767
